Time resolution is 1 ps
Time: 2805000 | Master Din: a5 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 2825000 | Master Din: 00 | Addr: 1001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2915000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2935000 | Master Din: a5 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2955000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 2985000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3005000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3025000 | Master Din: 00 | Addr: 0001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3055000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3075000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 3095000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3125000 | Master Din: 00 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3145000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 3165000 | Master Din: 00 | Addr: 0101 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3195000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3215000 | Master Din: a5 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 3235000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3265000 | Master Din: 00 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 3285000 | Master Din: a5 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
